2022-07-23 23:31:26,560 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:26] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:27,067 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:27] "POST /takeimage HTTP/1.1" 200 -
2022-07-23 23:31:27,068 | server.py->isAngry():26 | WARNING | CHECKING IF ANGRY
2022-07-23 23:31:27,068 | main.py->isAngry():30 | WARNING | False
2022-07-23 23:31:27,068 | server.py->isAngry():28 | WARNING | 0
2022-07-23 23:31:27,068 | _internal.py->_log():224 | INFO | 127.0.0.1 - - [23/Jul/2022 23:31:27] "POST /isangry HTTP/1.1" 200 -
2022-07-23 23:31:27,258 | server.py->returnSummary():34 | WARNING | RETURNING SUMMARY
2022-07-23 23:31:27,258 | server.py->returnSummary():40 | WARNING | {'emotion1': 'happy', 'emotion2': 'none', 'emotion3': 'none', 'comparing': 'Timings'}
2022-07-23 23:31:27,260 | data.py->summarizeTimes():43 | WARNING | Emotions Sent: []
2022-07-23 23:31:27,260 | data.py->convertToTime():26 | WARNING | 2022_07_23_23_18_26
2022-07-23 23:31:27,260 | data.py->convertToTime():26 | WARNING | 2022_07_23_23_18_27
2022-07-23 23:31:27,260 | data.py->summarizeTimes():56 | WARNING | Time Created 23:18:26 - 23:18:27
2022-07-23 23:31:27,260 | data.py->summarizeTimes():64 | WARNING | Time Emotion: 0.0225, TotalEQ: 0.0225
2022-07-23 23:31:27,260 | data.py->convertToTime():26 | WARNING | 2022_07_23_23_18_28
2022-07-23 23:31:27,260 | data.py->convertToTime():26 | WARNING | 2022_07_23_23_18_28
2022-07-23 23:31:27,260 | data.py->summarizeTimes():56 | WARNING | Time Created 23:18:28 - 23:18:28
2022-07-23 23:31:27,260 | data.py->summarizeTimes():64 | WARNING | Time Emotion: 0.0225, TotalEQ: 0.045
2022-07-23 23:31:27,260 | data.py->convertToTime():26 | WARNING | 2022_07_23_23_18_29
2022-07-23 23:31:27,260 | data.py->convertToTime():26 | WARNING | 2022_07_23_23_18_29
2022-07-23 23:31:27,260 | data.py->summarizeTimes():56 | WARNING | Time Created 23:18:29 - 23:18:29
2022-07-23 23:31:27,260 | data.py->summarizeTimes():64 | WARNING | Time Emotion: 0.0225, TotalEQ: 0.0675
2022-07-23 23:31:27,260 | data.py->convertToTime():26 | WARNING | 2022_07_23_23_18_30
2022-07-23 23:31:27,260 | data.py->convertToTime():26 | WARNING | 2022_07_23_23_18_30
2022-07-23 23:31:27,260 | data.py->summarizeTimes():56 | WARNING | Time Created 23:18:30 - 23:18:30
2022-07-23 23:31:27,260 | data.py->summarizeTimes():64 | WARNING | Time Emotion: 0.0225, TotalEQ: 0.09
2022-07-23 23:31:27,260 | data.py->convertToTime():26 | WARNING | 2022_07_23_23_18_31
2022-07-23 23:31:27,260 | data.py->convertToTime():26 | WARNING | 2022_07_23_23_18_31
2022-07-23 23:31:27,260 | data.py->summarizeTimes():56 | WARNING | Time Created 23:18:31 - 23:18:31
2022-07-23 23:31:27,260 | data.py->summarizeTimes():64 | WARNING | Time Emotion: 0.0225, TotalEQ: 0.11249999999999999
